,Airline,Source,Destination,Total_Stops,Month_June,Month_March,Month_May,Season_Summer,Dep_Hour_Sin,Dep_Hour_Cos,Dep_Min_Sin,Dep_Min_Cos,Day_Sin,Day_Cos,Weekday_Sin,Weekday_Cos
2237,1257,1578,961,1,0,0,1,0,0.5,-0.87,0.0,1.0,0.59,0.81,0.97,-0.22
9617,1553,3327,3327,2,0,1,0,0,-0.87,0.5,0.0,-1.0,-0.59,0.81,-0.78,0.62
686,1553,3327,3327,2,0,0,1,0,0.97,-0.26,-0.5,0.87,-0.95,-0.31,0.78,0.62
7684,359,2155,2155,2,0,0,0,0,0.97,-0.26,-0.87,0.5,0.59,0.81,0.78,0.62
7838,2852,3327,3327,2,1,0,0,1,-0.5,0.87,0.87,0.5,0.59,0.81,-0.78,0.62
10409,1553,2155,2155,2,0,0,1,0,-0.97,0.26,-0.87,-0.5,0.59,0.81,0.97,-0.22
9497,1257,526,526,1,0,1,0,0,-0.26,-0.97,-0.5,-0.87,-0.95,-0.31,0.43,-0.9
694,1553,2155,2155,1,0,1,0,0,-0.87,0.5,0.5,0.87,0.59,-0.81,-0.0,1.0
5398,2852,3327,3327,2,0,1,0,0,0.26,-0.97,0.0,-1.0,-0.95,-0.31,0.43,-0.9
10438,1553,3327,3327,2,1,0,0,1,0.5,0.87,0.0,1.0,-0.59,0.81,-0.0,1.0
5950,1257,2155,2155,3,0,0,1,0,0.71,-0.71,0.87,0.5,-0.59,-0.81,0.78,0.62
1317,2852,3327,3327,2,1,0,0,1,-0.71,0.71,0.87,0.5,-0.95,-0.31,-0.43,-0.9
6914,2852,3327,3327,2,1,0,0,1,0.97,-0.26,0.5,-0.87,-0.59,0.81,-0.0,1.0
4555,2852,3327,3327,2,0,0,1,0,0.5,0.87,1.0,0.0,-0.95,-0.31,0.78,0.62
9025,2852,3327,3327,2,1,0,0,1,-0.97,0.26,-1.0,-0.0,-0.59,0.81,-0.0,1.0
6569,2852,3327,3327,3,0,0,1,0,-0.26,-0.97,0.5,0.87,-0.95,0.31,-0.78,0.62
1295,1553,2155,2155,2,0,0,1,0,-0.71,-0.71,1.0,0.0,-0.59,-0.81,0.78,0.62
7776,2852,2155,2155,2,0,0,1,0,-0.87,-0.5,0.0,-1.0,-0.59,-0.81,0.78,0.62
10319,2852,3327,3327,3,0,1,0,0,0.97,0.26,0.87,-0.5,-0.59,-0.81,0.43,-0.9
10364,2852,1578,961,1,0,0,0,0,0.97,-0.26,-0.87,0.5,0.95,0.31,-0.97,-0.22
2263,233,3327,3327,2,1,0,0,1,0.97,-0.26,-0.5,-0.87,-0.95,-0.31,-0.43,-0.9
6411,1257,1578,617,2,0,1,0,0,0.0,1.0,0.0,-1.0,-0.95,0.31,0.78,0.62
3455,2852,3327,3327,3,1,0,0,1,0.97,0.26,0.0,-1.0,0.95,0.31,0.43,-0.9
232,1553,3327,3327,2,0,0,1,0,-0.71,0.71,0.87,0.5,0.59,0.81,0.43,-0.9
5144,1257,2155,2155,3,1,0,0,1,0.5,-0.87,0.0,1.0,-0.59,-0.81,-0.43,-0.9
4013,2852,3327,3327,2,1,0,0,1,0.5,-0.87,0.0,1.0,-0.59,0.81,-0.0,1.0
7549,2852,1578,617,2,0,1,0,0,0.26,-0.97,0.87,-0.5,-0.95,0.31,0.78,0.62
4772,1257,526,526,1,0,1,0,0,-0.97,0.26,0.0,-1.0,0.59,0.81,-0.43,-0.9
4268,1257,1578,961,1,0,0,1,0,-0.71,0.71,0.5,-0.87,0.95,-0.31,-0.97,-0.22
2045,2852,3327,3327,2,0,0,1,0,-0.71,0.71,0.87,0.5,-0.95,0.31,-0.78,0.62
2441,2852,526,526,1,0,1,0,0,0.97,-0.26,-0.87,0.5,0.95,-0.31,-0.0,1.0
9559,2852,1578,961,1,1,0,0,1,0.87,-0.5,-0.87,-0.5,0.59,0.81,-0.78,0.62
3289,872,3327,3327,2,1,0,0,1,0.71,-0.71,0.0,1.0,0.59,-0.81,0.78,0.62
5140,872,3327,3327,2,1,0,0,1,0.97,-0.26,0.0,-1.0,0.59,-0.81,0.78,0.62
8588,1553,1578,961,1,0,0,0,0,-0.87,0.5,0.0,1.0,-0.59,-0.81,-0.78,0.62
3648,1553,526,526,1,0,0,1,0,1.0,0.0,0.5,0.87,-0.59,0.81,-0.43,-0.9
4604,1553,2155,2155,2,1,0,0,1,0.71,-0.71,-0.87,-0.5,-0.59,-0.81,-0.43,-0.9
1029,359,2155,2155,2,0,0,1,0,0.97,-0.26,-0.87,0.5,0.59,-0.81,-0.97,-0.22
7121,359,1578,961,1,0,0,0,0,-0.97,-0.26,0.0,1.0,-0.95,0.31,-0.43,-0.9
6291,1553,2155,2155,2,1,0,0,1,-0.97,0.26,-0.5,0.87,-0.59,-0.81,-0.43,-0.9
7853,2852,526,526,1,0,0,1,0,0.97,-0.26,0.5,-0.87,-0.95,-0.31,0.78,0.62
8941,608,1578,961,1,0,0,0,0,0.71,-0.71,0.0,-1.0,0.59,0.81,0.78,0.62
3576,2852,2155,2155,2,0,0,1,0,-1.0,-0.0,-0.5,-0.87,0.95,0.31,-0.0,1.0
7989,1257,3327,3327,3,0,0,1,0,-0.97,-0.26,1.0,0.0,-0.95,0.31,-0.78,0.62
4388,1553,301,301,1,1,0,0,1,-0.26,-0.97,1.0,0.0,-0.59,-0.81,-0.43,-0.9
9383,2852,3327,3327,3,0,1,0,0,0.5,-0.87,-1.0,-0.0,-0.59,0.81,-0.78,0.62
1504,2852,3327,3327,3,0,1,0,0,0.71,-0.71,0.87,-0.5,0.59,0.81,-0.43,-0.9
8677,2852,3327,3327,2,0,1,0,0,0.5,0.87,1.0,0.0,-0.95,-0.31,0.43,-0.9
9754,608,1578,961,1,1,0,0,1,-0.71,0.71,-0.87,0.5,0.59,0.81,-0.97,-0.22
5411,1257,3327,3327,3,0,0,1,0,-0.5,0.87,0.0,1.0,-0.59,-0.81,0.78,0.62
4519,2852,1578,961,1,0,0,0,0,0.26,-0.97,-0.87,0.5,0.0,-1.0,0.78,0.62
3264,2852,1578,961,1,1,0,0,1,-0.71,-0.71,1.0,0.0,0.59,0.81,-0.78,0.62
2651,141,1578,961,1,0,0,0,0,0.97,-0.26,-1.0,-0.0,0.59,0.81,0.78,0.62
8438,2852,3327,3327,2,0,1,0,0,-0.71,-0.71,0.0,1.0,0.59,0.81,-0.43,-0.9
2506,608,301,301,1,1,0,0,1,0.87,-0.5,-0.87,-0.5,-0.95,-0.31,-0.43,-0.9
368,359,3327,3327,1,0,0,0,0,1.0,0.0,0.0,1.0,0.0,-1.0,0.78,0.62
8688,233,2155,2155,1,0,0,0,0,0.5,-0.87,-0.87,-0.5,-0.59,-0.81,-0.78,0.62
810,2852,1578,961,1,1,0,0,1,-0.71,-0.71,1.0,0.0,0.59,0.81,-0.97,-0.22
9526,2852,3327,3327,1,0,0,1,0,0.26,-0.97,0.0,1.0,-0.95,0.31,-0.78,0.62
2981,1553,1578,961,1,0,0,0,0,-0.26,0.97,0.0,-1.0,0.0,-1.0,0.78,0.62
3850,2852,2155,2155,2,0,1,0,0,-0.97,0.26,-1.0,-0.0,0.59,-0.81,-0.0,1.0
7436,872,3327,3327,2,1,0,0,1,0.26,-0.97,0.5,0.87,0.95,0.31,0.43,-0.9
5799,608,526,526,1,0,0,1,0,-0.26,-0.97,1.0,0.0,0.0,-1.0,0.43,-0.9
7392,1553,2155,2155,1,1,0,0,1,-0.87,0.5,0.5,0.87,-0.59,-0.81,-0.43,-0.9
487,2852,3327,3327,2,0,0,0,0,-0.5,0.87,0.87,0.5,0.59,0.81,0.78,0.62
3067,608,2155,2155,1,1,0,0,1,-0.5,0.87,-0.87,-0.5,0.0,-1.0,-0.78,0.62
8520,359,1578,961,1,1,0,0,1,0.26,-0.97,0.0,-1.0,-0.59,-0.81,-0.43,-0.9
9279,1257,2155,2155,2,0,0,0,0,-0.87,0.5,0.0,-1.0,0.59,0.81,0.78,0.62
4016,608,1578,961,1,0,0,0,0,0.97,0.26,-0.5,-0.87,-0.95,0.31,-0.43,-0.9
7069,1553,2155,2155,1,1,0,0,1,-0.5,0.87,1.0,0.0,0.0,-1.0,-0.78,0.62
1716,2852,3327,3327,2,0,0,1,0,-0.71,0.71,0.87,0.5,-0.95,0.31,-0.78,0.62
9944,2852,2155,2155,2,0,0,1,0,1.0,0.0,0.0,-1.0,0.59,0.81,0.97,-0.22
2567,608,2155,2155,1,0,0,1,0,0.71,-0.71,0.0,1.0,0.59,0.81,0.43,-0.9
3001,1553,1578,961,1,1,0,0,1,0.87,-0.5,0.0,-1.0,0.59,-0.81,0.78,0.62
8191,872,3327,3327,2,1,0,0,1,-0.26,-0.97,0.0,1.0,0.0,-1.0,-0.78,0.62
3998,1553,1578,617,1,0,1,0,0,0.97,-0.26,-0.87,0.5,0.59,0.81,-0.43,-0.9
9867,2852,3327,3327,3,1,0,0,1,0.97,0.26,0.0,-1.0,0.95,0.31,0.43,-0.9
6066,2852,1578,961,1,0,0,0,0,-0.97,0.26,0.87,0.5,0.59,-0.81,0.43,-0.9
4354,872,3327,3327,2,0,1,0,0,0.0,-1.0,0.87,0.5,-0.59,-0.81,0.43,-0.9
2942,2852,2155,2155,2,0,0,1,0,-0.87,0.5,0.5,0.87,-0.95,0.31,-0.78,0.62
8246,2852,1578,617,2,0,1,0,0,0.97,0.26,-1.0,-0.0,0.59,-0.81,-0.0,1.0
3490,359,2155,2155,2,0,0,1,0,-0.97,-0.26,0.0,1.0,0.59,0.81,0.43,-0.9
6270,608,2155,2155,2,1,0,0,1,0.87,-0.5,-0.5,0.87,-0.59,0.81,-0.0,1.0
2947,2852,1578,961,1,0,0,1,0,-0.71,-0.71,1.0,0.0,0.59,-0.81,-0.97,-0.22
6877,608,2155,2155,1,0,0,1,0,-0.97,-0.26,-0.87,0.5,-0.95,-0.31,0.78,0.62
3079,1553,1578,617,1,0,1,0,0,0.5,-0.87,0.5,-0.87,0.95,-0.31,-0.0,1.0
8011,1257,3327,3327,3,0,0,1,0,0.71,-0.71,-1.0,-0.0,0.59,0.81,0.97,-0.22
9068,233,2155,2155,1,0,1,0,0,-0.5,0.87,0.87,0.5,-0.95,-0.31,0.43,-0.9
6568,1257,3327,3327,2,0,0,1,0,-0.97,-0.26,-0.87,-0.5,-0.95,0.31,-0.78,0.62
1423,1553,301,301,1,0,1,0,0,0.97,-0.26,-0.5,-0.87,0.59,0.81,-0.43,-0.9
7293,1257,3327,3327,3,1,0,0,1,0.0,-1.0,-0.5,-0.87,0.95,-0.31,0.78,0.62
4881,1553,301,301,1,0,1,0,0,-0.5,0.87,0.5,-0.87,-0.59,-0.81,0.43,-0.9
3485,1257,526,526,1,0,0,1,0,1.0,0.0,-0.87,-0.5,-0.95,0.31,-0.78,0.62
7552,1257,3327,3327,1,0,1,0,0,-0.5,-0.87,-0.87,0.5,0.59,0.81,-0.43,-0.9
5197,608,526,526,1,0,0,1,0,-0.26,-0.97,1.0,0.0,-0.59,0.81,-0.43,-0.9
5540,872,3327,3327,2,0,1,0,0,0.97,-0.26,-0.87,0.5,0.59,0.81,-0.43,-0.9
957,2852,1578,617,2,0,1,0,0,0.97,0.26,-1.0,-0.0,0.95,0.31,0.97,-0.22
5139,2852,1578,617,2,0,1,0,0,-0.5,-0.87,0.5,-0.87,0.59,0.81,-0.43,-0.9
4246,1257,3327,3327,2,1,0,0,1,-0.87,0.5,0.0,-1.0,0.95,0.31,0.43,-0.9
5003,233,3327,3327,2,1,0,0,1,-0.87,0.5,-1.0,-0.0,0.59,-0.81,0.78,0.62
4175,2852,526,526,1,0,1,0,0,0.97,-0.26,-0.87,0.5,-0.59,-0.81,0.43,-0.9
2613,872,3327,3327,2,0,1,0,0,0.87,0.5,0.0,1.0,-0.95,-0.31,0.43,-0.9
8835,2852,2155,2155,2,0,0,1,0,-0.5,-0.87,0.5,-0.87,0.95,0.31,-0.0,1.0
6844,1257,2155,2155,3,1,0,0,1,-0.87,-0.5,0.87,0.5,-0.59,0.81,-0.0,1.0
48,1257,2155,2155,2,0,0,1,0,-0.97,0.26,0.0,1.0,0.0,-1.0,0.43,-0.9
3492,2852,3327,3327,3,0,1,0,0,-0.97,0.26,1.0,0.0,0.59,0.81,-0.43,-0.9
1379,1257,1578,961,1,0,0,0,0,-0.26,-0.97,-0.87,-0.5,0.0,-1.0,0.78,0.62
