,Duration_Min,Price
2237,165,6961
9617,305,6937
686,515,7514
7684,975,7927
7838,335,10262
10409,265,3574
9497,90,2050
694,160,8872
5398,1015,6017
10438,325,5636
5950,1385,13227
1317,1270,10262
6914,1280,10262
4555,1005,16079
9025,1395,14924
6569,1390,16704
1295,290,4775
7776,365,10844
10319,1365,17271
10364,180,7229
2263,870,6152
6411,495,13859
3455,810,10368
232,345,6349
5144,920,13033
4013,1105,10262
7549,680,13555
4772,75,2575
4268,170,6121
2045,395,15554
2441,85,5678
9559,180,7229
3289,720,8143
5140,705,9001
8588,170,4823
3648,90,4049
4604,295,11160
1029,700,9555
7121,155,5613
6291,220,6116
7853,85,4995
8941,170,3971
3576,865,9663
7989,1560,12392
4388,140,3597
9383,1925,19329
1504,550,11702
8677,1570,12242
9754,175,3919
5411,1275,11701
4519,175,4544
3264,175,8016
2651,175,4239
8438,1670,12767
2506,135,3597
368,190,6216
8688,155,3807
810,175,8016
9526,195,9564
2981,170,4591
3850,1345,13759
7436,470,7354
5799,90,2175
7392,165,4804
487,825,5177
3067,140,3841
8520,170,4668
9279,745,7893
4016,160,4319
7069,155,4804
1716,395,12373
9944,330,9663
2567,145,3841
3001,170,4823
8191,750,7198
3998,175,6860
9867,810,11507
6066,180,7229
4354,765,15147
2942,1365,14151
8246,280,8147
3490,1065,9187
6270,520,6853
2947,175,4544
6877,150,3873
3079,175,7648
8011,1420,10975
9068,150,3782
6568,965,7690
1423,140,3384
7293,1820,12436
4881,140,5277
3485,80,3100
7552,180,5674
5197,90,2175
5540,540,5999
957,340,13817
5139,1280,7832
4246,1590,8907
5003,590,6152
4175,85,9536
2613,890,11299
8835,510,14781
6844,765,11642
48,965,6117
3492,1415,8938
1379,170,5228
3160,1330,8586
10013,1100,10262
1903,165,8273
8556,625,6674
9735,550,10262
10009,805,10203
8996,165,3419
6463,1345,14424
5846,265,5073
766,145,3540
2027,175,6722
9389,465,9140
1954,90,4049
8803,1330,13941
7301,220,6857
8731,845,7318
3983,140,3873
4244,1255,7480
9659,1820,12436
10225,425,15544
10330,195,5000
4841,155,3841
5596,375,14323
7485,145,3384
2487,480,13377
9851,795,5704
9173,270,6460
5758,1375,13014
8882,740,14571
8174,800,12384
7681,615,6795
9178,1200,12284
7350,1410,13759
9787,1580,9190
7094,690,13377
10065,270,4760
2722,170,4319
7166,925,10262
8945,155,3841
758,1430,15129
7247,865,10844
8413,145,3841
6990,155,3841
7601,520,9663
6760,155,4804
9045,1610,11222
1616,900,16704
2775,800,12384
10151,80,3100
7110,80,3100
5430,350,12347
6591,730,14781
7705,90,1965
942,150,3841
1213,170,6121
7974,620,18371
1944,810,10697
5342,435,13261
3497,355,9187
8663,860,6093
9580,1270,16079
2444,1500,14151
5657,160,3257
6086,1165,12373
